model,img_size,param_count_m,gmacs,ms_batch1_cpu
swin_s3_tiny_224,224,28.33,4.64,18.477
tnt_s_patch16_224,224,23.76,5.24,18.516
nf_regnet_b1,288,10.22,1.02,18.531
tf_efficientnet_cc_b1_8e,240,39.72,0.75,18.536
efficientnetv2_rw_t,224,13.65,1.93,18.539
vit_srelpos_medium_patch16_224,224,38.74,7.96,18.578
deit3_medium_patch16_224,224,38.85,8.0,18.623
vit_small_resnet26d_224,224,63.61,5.07,18.668
nest_tiny,224,17.06,5.83,18.675
xcit_small_12_p16_224,224,26.25,4.82,18.68
cs3darknet_l,288,21.16,6.16,18.707
crossvit_15_dagger_240,240,28.21,6.13,18.75
seresnet50t,224,28.1,4.32,18.749
regnetz_b16_evos,288,9.74,2.36,18.805
mobilenetv4_conv_large,320,32.59,4.47,18.867
pvt_v2_b2_li,224,22.55,3.91,18.908
skresnet50,224,25.8,4.11,18.915
mobilevitv2_200,256,18.45,7.22,19.037
resnetaa50,288,25.56,8.52,19.104
ese_vovnet39b,288,24.57,11.71,19.169
efficientnet_b3,288,12.23,1.63,19.224
resnet50_clip,224,38.32,6.14,19.223
tf_efficientnetv2_b3,300,14.36,3.04,19.237
resnet61q,256,36.85,7.8,19.248
coatnet_bn_0_rw_224,224,27.44,4.67,19.274
crossvit_small_240,240,26.86,5.63,19.299
cs3darknet_focus_l,288,21.15,5.9,19.315
regnety_032,288,19.44,5.29,19.319
skresnet50d,224,25.82,4.36,19.343
resnetrs50,224,35.69,4.48,19.346
nest_tiny_jx,224,17.06,5.83,19.349
regnetz_c16,320,13.46,3.92,19.359
mobilenetv4_hybrid_medium,448,11.07,4.2,19.376
vovnet57a,224,36.64,8.95,19.39
seresnetaa50d,224,28.11,5.4,19.459
gcresnext50ts,288,15.67,4.75,19.538
resnetblur50,288,25.56,8.52,19.555
convnext_pico,288,9.05,2.27,19.57
regnetz_c16_evos,256,13.49,2.48,19.57
res2net50_26w_4s,224,25.7,4.28,19.621
dla102x,224,26.31,5.89,19.637
nf_regnet_b2,240,14.31,0.97,19.653
convnextv2_nano,224,15.62,2.46,19.655
tiny_vit_21m_224,224,33.22,4.29,19.67
resnetaa50d,288,25.58,8.92,19.683
nf_regnet_b2,272,14.31,1.22,19.691
skresnet34,224,22.28,3.67,19.712
eva02_small_patch14_224,224,21.62,6.14,19.74
pvt_v2_b1,224,14.01,2.12,19.752
mobilenetv4_hybrid_large_075,256,22.75,2.06,19.772
vit_relpos_base_patch32_plus_rpn_256,256,119.42,7.68,19.809
fbnetv3_g,288,16.62,1.77,19.845
dla60_res2next,224,17.03,3.49,19.857
convnext_pico_ols,288,9.06,2.37,19.879
sebotnet33ts_256,256,13.7,3.89,19.961
res2net50d,224,25.72,4.52,19.963
ese_vovnet57b,224,38.61,8.95,19.996
ecaresnetlight,288,30.16,6.79,20.0
fastvit_mci0,256,11.41,2.42,20.017
vit_relpos_medium_patch16_rpn_224,224,38.73,7.97,20.05
regnetx_080,224,39.57,8.02,20.051
maxvit_rmlp_pico_rw_256,256,7.52,1.85,20.08
seresnext50_32x4d,288,27.56,7.04,20.133
resnest50d,224,27.48,5.4,20.15
dla60_res2net,224,20.85,4.15,20.171
skresnext50_32x4d,224,27.48,4.5,20.179
regnety_040,288,20.65,6.61,20.21
convnext_tiny,288,28.59,7.39,20.215
nextvit_small,224,31.76,5.81,20.232
repvit_m3,224,10.68,1.89,20.243
vit_medium_patch16_gap_240,240,44.4,9.22,20.268
coatnet_nano_cc_224,224,13.76,2.24,20.303
res2next50,224,24.67,4.2,20.363
vit_base_patch32_plus_256,256,119.48,7.79,20.376
mobilenetv4_conv_large,384,32.59,6.43,20.443
resnetblur50d,288,25.58,8.92,20.447
ecaresnet50d,288,25.58,7.19,20.451
resnest50d_1s4x24d,224,25.68,4.43,20.474
